filepath,distgen_total_charge
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/d6e4c18826f63b02c5ee35aa010d175c.h5,5.004790722630259e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/161e05a21c9390f19649b6696f65304a.h5,5.091570637194e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/29f02b436b9b939fca42835d48a2a426.h5,5.017159125719539e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/8765596cb34a51045817f84e3c368ce4.h5,5.053986735658112e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/3d33aa5041fa41f5086c8158a7d9dee9.h5,5.04209529400806e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/16b428e1e4179cec06eef2cd401d309e.h5,5.042905932209734e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/fb1cc7ed29c68ed9ee2f245e35c1ce5a.h5,5.002078342298787e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/ea55ee45a37b43c1122eaaf1525fdb95.h5,5.043980500070123e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/51197b45b216df0f8bb84ba4c7795e10.h5,5.031453272386002e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/234aa2d2c3cec866acf40064e894c28e.h5,5.082847943898787e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/073ca1c32f9010df4afc6cade4d11557.h5,5.082847943898787e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/710d9b44e5ca9b96c84633ee13ee2535.h5,5.051857432964662e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f8debd1ff1a15bc12bb57e5f15d9b565.h5,5.012575095125942e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/fe3acac5981425a59c18cd6493cadfe4.h5,5.057142587218047e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/2693b748f792c85e58da50ccc1adf734.h5,5.049645307337732e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/a0db8095255f2acf4d1127935358aa14.h5,5.055737283682712e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/dd2d64906d8115f5f9353f78aa57ecdd.h5,5.002535518509601e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/05057dfb3cf44720c6403aaa0b3de21f.h5,5.071404434686402e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/bd6e1e09a1dda3d475320cf160f43e27.h5,5.05794893899976e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/2d0ac4044ab2b632903a6627a8bae0b1.h5,5.088200105479219e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/50b15e3e16d7306d68329f87ad217ad2.h5,5.012575095125942e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/827517df2944056b5e72069ed87ad4e1.h5,5.05205097298587e-10
