filepath,norm_emit_x,norm_emit_y,norm_emit_z,SOL10111:solenoid_field_scale,CQ10121:b1_gradient,SQ10122:b1_gradient,GUNF:rf_field_scale,GUNF:theta0_deg,distgen:total_charge
/sdf/scratch/users/t/tiffan/electrons_PMES_51/d6e4c18826f63b02c5ee35aa010d175c.h5,7.911625e-06,2.0731519e-05,2.7122881e-05,-0.22039581337423922,0.02519218225644738,0.011119805197619665,49605686.2426185,-68.00301709354835,5.004790722630259e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/161e05a21c9390f19649b6696f65304a.h5,6.923165e-06,7.6830105e-06,2.677465e-05,-0.24993348170271285,-0.024533263759129408,0.025322377061547767,50993303.106641285,-66.83468461763475,5.091570637194e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/29f02b436b9b939fca42835d48a2a426.h5,5.2001617e-06,9.956829e-06,2.2475199e-05,-0.22982386409941163,-0.12834724493531524,-0.13267415194541027,51893013.477068715,-69.48468300648689,5.017159125719539e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/8765596cb34a51045817f84e3c368ce4.h5,7.6026382e-06,1.3342898e-05,2.2150448e-05,-0.2203415242553397,0.04519057151041922,0.0002523419685370176,47902525.45998188,-61.44113209046236,5.053986735658113e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/3d33aa5041fa41f5086c8158a7d9dee9.h5,1.6058649e-05,2.8870589e-05,3.1243841e-05,-0.24218178714732466,0.14654859436579828,0.015855501641671564,51383563.66785434,-66.77529150297865,5.04209529400806e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/16b428e1e4179cec06eef2cd401d309e.h5,3.267568e-06,8.6800614e-06,1.4119194e-05,-0.2382239252312996,0.0036968099411189594,0.015152215583526706,48749123.698938675,-63.58039310805997,5.042905932209735e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/fb1cc7ed29c68ed9ee2f245e35c1ce5a.h5,1.8544895e-05,1.4948906e-05,4.6448987e-05,-0.30466802264941006,0.15470042125980388,0.026536600002159405,48068458.66237262,-61.202196030373756,5.002078342298787e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/ea55ee45a37b43c1122eaaf1525fdb95.h5,6.3632282e-06,7.3095457e-06,2.5269536e-05,-0.22130906593442035,-0.042030276046758845,-0.02783026462572919,49778225.619177505,-60.71047690009584,5.043980500070123e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/51197b45b216df0f8bb84ba4c7795e10.h5,1.1530973e-05,1.1072543e-05,2.2304185e-05,-0.21357633717675537,0.08371425564215726,0.12331319135550134,48855504.39476486,-65.70594558109697,5.031453272386002e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/234aa2d2c3cec866acf40064e894c28e.h5,6.5340062e-06,6.7016267e-06,2.0221597e-05,-0.21538877139585624,-0.007074884194442908,0.00802787450656154,52684403.64058598,-67.60777906560962,5.082847943898787e-10
